date,open,low,high,volume,close
1995/1/12,52.5,51,52.5,3202 ,51.5
1995/1/13,51.5,51,52,1640 ,51
1995/1/14,51,50,51,2882 ,50
1995/1/16,51,50.5,52.5,5118 ,52.5
1995/1/17,52.5,52.5,54,9722 ,53.5
1995/1/18,55,55,57,33610 ,57
1995/1/19,58,56,59,26517 ,56
1995/1/20,56,53,56,16241 ,53
1995/1/21,52.5,52,54,5690 ,53.5
1995/1/23,54,53,54.5,5059 ,53
1995/1/24,52,51.5,52.5,7979 ,51.5
1995/1/25,52,52,53,4028 ,52.5
1995/1/26,53,52.5,53.5,4117 ,52.5
1995/2/4,53.5,53,54,3142 ,53
1995/2/6,53,52.5,53.5,1933 ,53.5
1995/2/7,54,53.5,54.5,4104 ,54
1995/2/8,54,53.5,54.5,5272 ,54
1995/2/9,54.5,54.5,57,16736 ,55.5
1995/2/10,55.5,54.5,56,8036 ,55
1995/2/11,55,54.5,56,5590 ,55
1995/2/13,55.5,54,55.5,4134 ,54
1995/2/14,54,53.5,54,2201 ,53.5
1995/2/15,53.5,53.5,54.5,2778 ,54
1995/2/16,54.5,54,55,3278 ,54.5
1995/2/17,54.5,53.5,55,2809 ,53.5
1995/2/18,54,53.5,55,2368 ,55
1995/2/20,55,54.5,56,8331 ,54.5
1995/2/21,54.5,54,55.5,3427 ,55.5
1995/2/22,55.5,55,56.5,11885 ,55.5
1995/2/23,56,55.5,56.5,7118 ,55.5
1995/2/24,56,56,57,7836 ,56
1995/2/25,56.5,56,57,5548 ,57
1995/2/27,55.5,54,56,10153 ,55.5
1995/2/28,55.5,55,56,5226 ,55.5
1995/3/1,55.5,53.5,55.5,5750 ,54
1995/3/2,54,54,55,2898 ,54.5
1995/3/3,55,55,55.5,3151 ,55.5
1995/3/4,55.5,55,56,2144 ,55.5
1995/3/6,55.5,54.5,56,2714 ,55
1995/3/7,55,54.5,55,2194 ,54.5
1995/3/8,54.5,54,55,2300 ,54
1995/3/9,54,53.5,54,2060 ,54
1995/3/10,53.5,53.5,54.5,1635 ,54
1995/3/11,54,53.5,54.5,1865 ,54
1995/3/13,54,53.5,54.5,1727 ,54
1995/3/14,54,53.5,54.5,1497 ,54
1995/3/15,54,53.5,54.5,2867 ,54
1995/3/16,54,54,55,2277 ,54.5
1995/3/17,54.5,54,55,1979 ,55
1995/3/18,55,54,55,1462 ,54.5
1995/3/20,54.5,54,54.5,1150 ,54
